标题,房型,面积,层高,年代,价格,地址
2469号线世纪大道+毗邻八佰伴、九六广场、世纪汇+楼层好,1室1厅,33m--,中层(共6层),1987年建造,420,泉东小区----浦东-潍坊-张杨路
汇翠*：高区景观二房，全朝南，真实价格，真实楼层，真实好房,2室2厅,114m--,中层(共32层),2002年建造,1000,汇翠花园----徐汇-万体馆-漕溪北路737弄1-6号
外滩绿城黄浦湾二期豪装大平层，一梯一户正气五房，全新未住！,5室2厅,267m--,中层(共22层),2016年建造,3388,绿城黄浦湾----黄浦-黄浦滨江-中山南路566弄
圣卡洛铂庭南北通大两房，降价急售，满五唯一,2室2厅,91m--,高层(共14层),2007年建造,400,圣卡洛铂庭----宝山-顾村-沙浦路518弄1-165号
通河一村 满五 近地铁 正气大一房 居家装修,1室1厅,51m--,中层(共6层),1995年建造,260,通河一村----宝山-通河-通河路100弄
厨卫全明，带飘窗，，视野很好,2室1厅,84m--,高层(共36层),2009年建造,770,泰欣嘉园----普陀-光新-光复西路133弄
临近世纪公园+小区中心位置+采光无遮挡+全明户型+满五唯一！,3室2厅,155m--,高层(共18层),2006年建造,1480,陆家嘴中央公寓----浦东-世纪公园-东绣路99弄
芳华路中心位置小区第二排看房方便业主诚心出售欢迎看房,1室1厅,52m--,高层(共6层),1996年建造,300,培花久远公寓----浦东-花木-芳华路478弄
红旗四街坊 地铁东急售房，两房修，看房随时，95年房龄可商贷,2室1厅,58m--,低层(共6层),1995年建造,180,红旗四街坊----闵行-江川路-凤庆路1061弄
急推房源南北通两房，中间楼层景观位置，两房两厅205万,2室2厅,82m--,中层(共18层),2015年建造,205,美罗家园润苑----宝山-罗店-年吉路650弄
紧邻地铁二号线徐泾东、业主诚意出售、钥匙在手看房方便、满五年,4室3厅,308m--,共3层,2011年建造,1200,久事西郊名墅----青浦-徐泾-诸光路1188弄
新出玫瑰园78平送阁楼，阁楼面积35平，175万精装修 急售,4室2厅,78m--,高层(共6层),2000年建造,175,明城玫瑰园----奉贤-海湾旅游区-明城路1166弄
送车位，凯德高端小区值得你拥有，南北板式户型,2室2厅,92m--,低层(共16层),2012年建造,800,凯德嘉博名邸----浦东-三林-齐恒路177弄
美兰湖板块，宝龙广场咫尺，美安苑本地动迁南北大三房,2室2厅,125m--,高层(共11层),2015年建造,350,美罗家园美安苑----宝山-罗店-美安路398弄
嘉兴市中心，南湖区万达广场边，产权清晰落户轻松，多对口学校！,5室2厅,285m--,共3层,2014年建造,280,世合理想大地(别墅)----上海周边-嘉兴-余步线
都市宜家苑 2+1户型 楼层好 位置佳 诚心出售！,2室2厅,86m--,中层(共6层),2004年建造,435,都市宜家----闵行-春申-虹梅南路1661弄
劲爆 太仓碧桂园加推了 精装交付 一梯一户 好房子等您来选购,3室2厅,115m--,中层(共18层),2017年建造,100,碧桂园天琴湾----上海周边-昆山-陆璜公路，近岳鹿线
中环1号电梯电梯景观房小三房，婚房装修，有车位！,3室2厅,102m--,高层(共18层),2011年建造,570,中环一号(一期)----宝山-大华-真北路4333弄
本人从事房地产多年，公司有大量好房源，我的店铺查看，欢迎随时,3室2厅,99m--,高层(共8层),2016年建造,102,"万城明月公馆----上海周边-嘉兴-广顺路,近联合路"
精装大三房居住舒适！！！圆弧大阳台阳光充足，高区通风透气,3室2厅,154m--,中层(共22层),2006年建造,1320,陆家嘴美丽苑----浦东-源深-羽山路383弄
杜鹃园 在售全南3房 一梯二户 小区中心 康外中学 中间楼层,3室1厅,83m--,中层(共6层),1994年建造,580,杜鹃园----徐汇-康健-钦州南路917弄
世纪花苑，欧式风情小区，紧靠灵石公园，看房方便！,2室2厅,90m--,中层(共6层),2000年建造,520,静安世纪花苑----闸北-阳城永和-沪太路909弄
《银都》南北小两房，对口*，格局方正税费少，中心位置急售。,2室1厅,57m--,中层(共6层),1996年建造,258,银都八村----闵行-莘庄-银都路3118弄
莘庄*，一室一厅，满五年税少，钥匙房，随时看房,1室1厅,45m--,低层(共6层),1994年建造,205,西环三村----闵行-莘庄-西环路205弄
解决孩 子上学的难题，没有社保也可买，低总价学 区房送车位,3室2厅,89m--,中层(共6层),2009年建造,23,敬南苑----闵行-马桥-敬南路251弄
地铁口300米、70年住宅房、配套成熟，可落户,2室2厅,80m--,中层(共27层),2011年建造,120,上海裕花园----上海周边-昆山-花桥徐公桥3号
锦丽斯公寓：南北通户型 精装修 全明户型 采光无遮挡 视野好,3室2厅,119m--,高层(共15层),2002年建造,740,锦丽斯公寓----杨浦-周家嘴路-周家嘴路2000弄1-7号
金山世纪城 精装修高层住宅 对口小学 70年产权 居民素质高,3室2厅,89m--,中层(共15层),2017年建造,190,金山世纪城----金山-石化-金山大道2335弄
佘山9号线国贸天悦双轨精装房,3室2厅,90m--,中层(共13层),2016年建造,380,国贸天悦佘山----松江-佘山-勋业东路188弄
降价20万+高区楼层+临地铁+满五唯一+随时看房,2室2厅,100m--,中层(共16层),2012年建造,880,宝地东花园----杨浦-周家嘴路-唐山路1188弄
全实木地板（保养佳）送家具家电，满五唯壹，南北通透，随时看,2室2厅,89m--,中层(共18层),2010年建造,325,明中龙祥家园----松江-莘闵-明中路699弄1-95号
《城市高尔夫》+《豪装一手现房》一湖三山景区，通燃气民用电,1室1厅,44m--,高层(共15层),2014年建造,72,花样年太湖天城----上海周边-苏州-环太湖大道128号
印象春城  精装修3房 高层景观 房东自己住 看房随时方便,3室2厅,114m--,高层(共18层),2009年建造,592,印象春城----浦东-周浦-年家浜东路129弄1-78号
品致小区！中心位置景观楼层！全新装修！临地铁屋主看好房急卖！,2室2厅,102m--,中层(共17层),2001年建造,455,绿茵苑(闵行)----闵行-莘庄-报春路558弄
宝宸怡景园，满两年，装修精致，空气清新 环境优雅,3室2厅,131m--,中层(共18层),2011年建造,880,宝宸怡景园----宝山-共康-三泉路1859弄1-132号
松江路劲佘山院子，精装年底交付，温馨两房紧凑三房，配套齐全！,2室2厅,88m--,高层(共15层),2015年建造,238,平原四村----松江-泖港-昆港公路2099弄
高品质小区临近地铁+人车分流+正对大花园+采光好,2室1厅,75m--,高层(共18层),1994年建造,380,市光一村----杨浦-中原社区-国和路80-87号
对面10号线，毗邻法拉第，眺望宝龙城，新小区，电梯景观楼层,3室2厅,116m--,高层(共12层),2010年建造,600,西郊英园----闵行-七宝-新龙路558弄
学籍户口无占用+看房方便+价格可谈+没有多余的税费+置换,2室1厅,62m--,中层(共6层),1999年建造,498,崮山小区二街坊----浦东-洋泾-灵山路1415弄
凤城四村+满五唯一+诚心出售+朝南一门关+欢迎来电,1室1厅,39m--,共5层,1986年建造,233,凤城四村小区----杨浦-控江路-抚顺路180弄
精装两房，多层2楼，178万税费各付，看房方便，房东置换出售,2室2厅,89m--,共5层,2004年建造,178,丽水湾----奉贤-庄行-三民路561弄
江阴现房无条件落户！空气清新、景区环绕！成熟配套！低总价,2室2厅,93m--,中层(共12层),2016年建造,63,龙庭花苑----上海周边-嘉兴-龙山大街与创新大道交界处
桃浦七村 精装一室一厅， 诚意出售，价格可谈,1室1厅,44m--,高层(共6层),1995年建造,185,桃浦七村----普陀-桃浦-雪松路458弄
崇明岛 碧桂园十里外滩 精装三房 首付40万  近上海,3室2厅,95m--,中层(共18层),2017年建造,123,碧桂园世纪城----上海周边-昆山-黄浦江路
11号线万达广场旁精装三房，非中介，无税费，抢到就是赚到,3室2厅,95m--,高层(共23层),2015年建造,430,嘉宝梦之缘景庭----嘉定-嘉定新城-云屏路1051号
"万科品质，南北通透，11号地铁口，精装带地暖,带产权车位",2室2厅,85m--,低层(共27层),2015年建造,610,万科海上传奇(1679弄)----浦东-御桥-御桥路1679弄
房源标题不怎么经典，但经典的南宜花苑房源一套对口,1室,42m--,低层(共6层),1995年建造,350,南宜花苑----徐汇-万体馆-宜山路408弄1-22号
"交通方便,户型正气 、邻近繁华商圈+环境超好+户型正 采光好",2室2厅,78m--,中层(共12层),2006年建造,118,枫岸华庭----金山-枫泾-枫湾路500弄
精装修 拎包入住 书院一号公寓 58平 155万,1室1厅,58m--,中层(共13层),2009年建造,155,书院一号公寓----浦东-临港新城-船山街159弄
老客户房子，急用钱，性价比高，南北通透，诚心出售，随时看房,3室2厅,96m--,低层(共6层),2000年建造,500,长宏新苑----宝山-淞南-淞南路211弄1-83号
平吉二村莲花新城 72.13平米 375.0万元,2室1厅,72m--,高层(共6层),1995年建造,375,平吉二村莲花新城----闵行-古美罗阳-虹莘路2288弄
水仙小区(240弄) 65.00平米 200.00万元,2室1厅,65m--,低层(共6层),1989年建造,200,水仙小区(240弄)----嘉定-安亭-昌吉路240弄
明珠A小户型精推，看房随时，近地铁，配套齐全，诚意出售,1室,37m--,高层(共6层),1993年建造,430,泉东小区----浦东-潍坊-张杨路
（新议价200万）（高区洋房景观）文化底蕴浓厚，熠熠淮海路,3室2厅,160m--,高层(共32层),2001年建造,1590,鸿艺豪苑----徐汇-湖南路-淮海中路1500号
"华东花苑,南北通透,全明户型,售后公房, 小区中间位置,诚售",2室1厅,79m--,中层(共7层),1998年建造,415,华东花苑(651弄)----徐汇-植物园-罗城路651弄
厨卫全明，好楼层，品味装修，人气房源,2室1厅,67m--,中层(共6层),2000年建造,305,华泾四村----徐汇-华泾-华泾路880弄
观望是没有结果的该出手时就出手这才是硬道理,2室1厅,75m--,中层(共18层),2014年建造,205,崧泽华城佳福雅苑(1021弄)----青浦-赵巷-崧泉路1021弄
老客户委托，产证在手，看房随时，建平未占用，停车方便，急售。,2室1厅,43m--,低层(共6层),1982年建造,420,梅园新村(浦东)----浦东-梅园-乳山路221号
（临江百米）+（华润标杆项目）+（外滩）一手*+税少,4室2厅,415m--,中层(共24层),2017年建造,4930,华润外滩九里----黄浦-黄浦滨江-中山南路460号
花园占地873平米，350万豪装才2年，境外业主回国急售，,5室3厅,256m--,共2层,2009年建造,950,观庭----青浦-徐泾-联民路55弄
张江汤臣豪园二期 115.14平米 970.00万元,3室2厅,115m--,中层(共16层),2006年建造,970,张江汤臣豪园二期----浦东-张江-晨晖路825弄
带朝南双阳台，铂金地段，小区环境优美，地铁方便，婚房装修！,2室1厅,85m--,中层(共6层),2000年建造,600,正南花苑----徐汇-上海南站-石龙路818弄
结婚装修 小两房可改正气一房一厅 与二中附小有关 业主置换,1室1厅,42m--,中层(共6层),1989年建造,250,长风二村风荷苑----普陀-长风-怒江路365号
近地铁 房东诚意出售，户型正气，南北通透，拎包入住，随时看房,2室2厅,74m--,高层(共6层),1996年建造,380,芳雅苑----浦东-花木-芳华路630弄
ZF柳博小区精装大两房近地铁满五年随时看房！房东急售！！,2室1厅,71m--,低层(共6层),1999年建造,400,柳博小区----浦东-金桥-博兴路616弄
华夏二路心圆东苑 中套出售 一手动迁满三年 无税,2室1厅,78m--,低层(共15层),2012年建造,341,心圆东苑----浦东-川沙-华夏二路1455弄
《虹日小区》《地铁10号线水城路站，星空广场，看房有钥匙》,2室1厅,50m--,高层(共6层),1985年建造,345,虹日小区(45弄)----长宁-虹桥路-水城路45弄
万科城花新园 精装三房 靠近地铁9号线 嘉敏高架 诚意出售,3室2厅,100m--,中层(共13层),1900年建造,670,万科城花新园----闵行-七宝-中春路8889弄55支弄
惠南一方新城 64.83平米 265.0万元,1室1厅,65m--,中层(共14层),2013年建造,265,惠南一方新城----浦东-惠南-迎薰路222弄
永泰花苑 低总价 南北户型 高层风景电梯房 房东急卖,2室1厅,73m--,高层(共11层),2005年建造,410,永泰花苑----浦东-三林-永泰路630弄
新出房源，厉害了我的哥，中心位置靠湖边，景观楼层精装修拎包住,3室2厅,119m--,高层(共14层),2003年建造,610,名都新城(155弄)----闵行-莘庄-宝城路155弄
万科金色华亭 精装小三房.理想楼层.近家乐福 出门有轨电车！,3室2厅,90m--,高层(共11层),2012年建造,330,万科金色华亭----松江-松江老城-乐都西路1558弄
70平只卖270万，两房正朝南，厨卫朝北户型正，近地铁配套全,2室1厅,69m--,中层(共6层),1998年建造,270,申莘一村----闵行-莘庄-申北路135弄
房东急卖、赠送80万豪华装修、景观位置、临近河边、满五无税,4室2厅,167m--,共1层,2008年建造,350,绿地21城C区----上海周边-昆山-绿地大道211号
挑高5.6米公寓!拎包入住!租金6500以租养贷零月供!,2室2厅,32m--,中层(共22层),2010年建造,79,百联公寓----浦东-周浦-沪南路5888弄
南北通，海桐小学*，内环内板式大三房，急卖随时看，凤凰家园,3室2厅,145m--,中层(共8层),2001年建造,890,凤凰家园----浦东-杨东-锦安东路511弄
金桥瑞仕花园 179.49平米 低于市场价100w，急售,4室2厅,179m--,低层(共16层),2008年建造,1720,金桥瑞仕花园----浦东-金杨-枣庄路399弄
70年产权可落户，地铁500米，精装修，全明户型，降价急抛！,3室2厅,118m--,中层(共11层),2015年建造,116,花桥世纪城----上海周边-昆山-昆山市花桥镇蓬青路与外青松路交叉口
仁恒森兰雅苑214平4房3卫带产权车位带保姆房一手买进 自住,4室2厅,214m--,中层(共19层),2016年建造,1700,仁恒森兰雅苑(公寓)----浦东-高行-兰谷路1888弄
中虹华苑，板式两房，南北通透，房东置换，诚意出售，急需首付,2室2厅,74m--,中层(共6层),2008年建造,315,金鹤新城中虹华苑----嘉定-江桥新城-金园一路1115弄
业主诚意出售，豪华装修，可以随时看房，我的老业主,3室2厅,115m--,低层(共18层),2007年建造,740,阳光花城----浦东-张江-紫薇路667弄
钥匙房方便看，绿城品质开发，小区绿化很高，居住舒适，适合居家,2室2厅,121m--,低层(共18层),2004年建造,1000,上海绿城----浦东-杨东-锦和路99弄
杭州湾一手住宅嘉悦城首付15万买两房，可上海公积金，有高铁,3室2厅,90m--,中层(共18层),2017年建造,30,合生杭州湾国际新城----上海周边-慈溪-中兴一路
宝山有套房丨搞定丈母娘丨体现您一年的辛苦价值的地方就是此房,1室1厅,58m--,中层(共6层),1996年建造,215,宏宝公寓----宝山-淞南-宝杨路3410弄
蓬莱公园双南两房+婚房装修+轨道4/8号线+业主急售！随时看,2室1厅,48m--,共5层,1990年建造,300,瞿溪新村----卢湾-五里桥-瞿溪路120弄
《茅台雅苑》《长宁区实验小学，地铁2号线威宁路站》,2室1厅,70m--,低层(共24层),1992年建造,520,茅台雅苑----长宁-天山-茅台路597弄9-11号
款清交房+地铁16号线300米+复试急售,1室1厅,38m--,中层(共13层),2011年建造,80,康达公寓----上海周边-嘉兴-秀州路
金虹桥井亭苑60平送阁楼，装修很好，附送面积大，价格可大谈！,1室1厅,61m--,高层(共6层),2005年建造,460,金虹桥井亭苑----闵行-龙柏金汇-虹莘路3799弄
93年小区，9/12号线地铁，双南户型，双天井20平，售后房,2室1厅,60m--,低层(共6层),1993年建造,650,建国西路211弄小区----徐汇-建国西路-建国西路211弄
上海70年产权可落户5号线地铁可贷款养老刚需好地方,2室2厅,76m--,中层(共6层),2008年建造,86,奉馨园----奉贤-奉城-新奉公路6215弄
临近地铁十号线，全明一室一厅，满五唯一，房东诚意出售,1室1厅,33m--,低层(共6层),2000年建造,270,虹霞小区(380弄)----长宁-仙霞-虹古路380弄1-30号
二期，达安联排别墅，个税免，带地下室和花园,4室2厅,188m--,地下(共3层),2014年建造,680,达安圣芭芭花园----松江-莘闵-明中路1177弄
正看襄阳公园，新鸿基创世之作，全屋落地窗，带空中泳池！,4室2厅,280m--,中层(共26层),2014年建造,3800,上海天玺----徐汇-建国西路-襄阳南路99弄
昌里花园中心楼 Only一套三房 有钥匙随时可看 房价有空间,3室2厅,135m--,中层(共18层),2002年建造,950,昌里花园----浦东-世博滨江-昌里东路71弄
上海周边一线城市、首付三成即可落户、以租养贷、买一手房佳选,3室2厅,94m--,中层(共16层),2017年建造,76,金汇奥园----上海周边-嘉兴-新桥北路
动迁房满五年唯一无税，中区采光好，小区中心位置，业主置换诚卖,1室1厅,51m--,高层(共13层),2006年建造,420,天山星城----长宁-天山-威宁路358弄1-49号
* * 不限贷 挑高5米 精装修复式 通天然气,2室2厅,30m--,中层(共18层),2016年建造,160,静安新时代----静安-南京西路-南京西路881弄
金杨总价超低的大一房 七街坊 一梯二户 进门位置 房东诚心卖,1室1厅,50m--,高层(共6层),1996年建造,255,金杨七街坊----浦东-金杨-枣庄路810弄
精装修南北通透满五唯一税费少屋主诚意看房随时,3室2厅,135m--,高层(共11层),2011年建造,600,万科花园小城----闵行-吴泾-龙吴路5688弄
人乐四村 精装小两房 九号线地铁站  学校就在小区里面,2室1厅,52m--,高层(共6层),1986年建造,208,人乐四村----松江-松江老城-人乐四村
六.月电梯地铁学.区房，车位充裕得房率高.全明户型，性价比高,2室2厅,94m--,高层(共14层),2012年建造,580,鹏健苑----浦东-北蔡-鹏岳路70弄
品质外销房月季园 三房朝南 房型正气 南北通透 采光充足,3室1厅,78m--,高层(共6层),1992年建造,480,月季园----徐汇-康健-桂平路67弄
房东婚房急售，入手价贱卖，送装修，地铁口，双阳台通煤气,2室2厅,30m--,中层(共22层),2012年建造,53,凯阳新寓----虹口-江湾镇-纪念路335弄
满2年、精装自住正气一室，送部分家电，中心不靠路，真实拍照,1室1厅,55m--,中层(共18层),2012年建造,233,海尚东苑----浦东-曹路-金睦路353弄
航武嘉园 全明户型 配套成熟 临近鹤沙航城地铁站 景观楼层,1室1厅,58m--,中层(共18层),2013年建造,200,鹤沙航城航武嘉园(西区)----浦东-航头-航瑞路459弄
精装修花园洋房松江佘山新城联排别墅新房子无税费,3室2厅,89m--,中层(共18层),2017年建造,340,路劲佘山院子(别墅)----松江-小昆山-崇南公路599弄
*70年产权* 落户 可上学 配套成熟 低总价交通便利,3室2厅,112m--,中层(共19层),2012年建造,89,美乐公园郡----上海周边-苏州-太仓市港区龙江路280
《热推房》挑高+边户+南北向+业主急售+惜售！挑高！,4室2厅,227m--,共3层,2009年建造,3200,四季雅苑(公寓)----浦东-世纪公园-花木路1983弄
（NEW)华光花园新出两房， 全新装修带地热，诚心业主出售,2室2厅,118m--,中层(共6层),2000年建造,725,华光花园----闵行-金虹桥-虹梅路3297弄
金山22号线，近万达广场，首付27万落户金山，可上学可落户！,2室1厅,56m--,低层(共6层),1988年建造,90,石化八村----金山-石化-蒙山路91号
泰晤士小镇稀有复式带花园，70年住宅，好房源,4室2厅,177m--,共4层,2006年建造,850,泰晤士小镇----松江-松江新城-三新北路900弄
04年小区，温馨舒适两房带飘窗  厅南北通 好地段 交通便利,2室2厅,107m--,低层(共30层),2004年建造,765,精文城上城----闸北-新客站-虬江路1488弄
对口卢湾二小，总价低，有尖顶可开发，层高3.2米，真盘实价,1室,10m--,共3层,1946年建造,150,永嘉路19弄小区----卢湾-淮海中路-永嘉路19弄
爱博家园  正规一房 紧邻地铁 性价比高   房东急售,1室1厅,60m--,高层(共13层),2009年建造,300,爱博一村----闵行-华漕-宁虹路1101弄
湖山在望花园岛屿独栋中心位置田园小学全套房设计,5室3厅,445m--,共2层,2012年建造,2500,湖山在望花园----闵行-颛桥-都市路2566弄
禾峰乾庄，嘉兴高品质别墅区，现房价格低，环境好，配套成熟,4室2厅,348m--,共3层,2016年建造,282,禾峰乾庄(别墅)----上海周边-嘉兴-余北大街570号
小区中心位置，临湖社区，送20万精装修，家具全送，钥匙房！,1室1厅,26m--,低层(共6层),2016年建造,78,古镇小区----松江-泗泾-开江西路486弄
业主急售大同花园+高区南北通两房+配套齐全采光无遮挡+随时看,2室1厅,103m--,高层(共32层),1999年建造,880,大同花园(88弄)----卢湾-打浦桥-鲁班路88弄
真盘实价，全明户型，三房正朝南，厨卫厅朝北，90平卖520万,3室1厅,89m--,高层(共6层),1996年建造,520,灵石小区----普陀-甘泉宜川-灵石路1620弄
同济绿园 128.68平米 1138.0万元,3室2厅,129m--,低层(共18层),2003年建造,1138,同济绿园----杨浦-控江路-控江路1888弄
国和一村 8号线地铁旁 精装修 双南两房 出行方便 好房力荐,2室1厅,58m--,高层(共6层),1992年建造,350,国和一村----杨浦-中原社区-国和一村
源城锦苑 93.08平米 680.0万元,2室2厅,93m--,共4层,2005年建造,680,源城锦苑----浦东-三林-灵岩南路769弄
420万元买一套数一数二的， 还等什么？？？,2室2厅,98m--,低层(共6层),2000年建造,420,汇丽苑----浦东-周浦-关岳路229弄1-156号
93年小区，9/12号线地铁，双南户型，双天井20平，售后房,2室1厅,60m--,低层(共6层),1993年建造,650,建国西路211弄小区----徐汇-建国西路-建国西路211弄
435万，62平米，451万打包拿到产证， 照片实拍，有钥匙,1室2厅,62m--,中层(共30层),2006年建造,435,中远两湾城(100弄)----普陀-中远两湾城-中潭路100弄
陆家嘴惜售两房 南北通透 前后无遮挡观看世纪公园 中央位置,2室2厅,101m--,高层(共19层),2006年建造,1050,陆家嘴中央公寓----浦东-世纪公园-东绣路99弄
印象春城中心位置精装修带地暖南北通满五年带产权车位急售,2室2厅,89m--,中层(共18层),2010年建造,420,印象春城----浦东-周浦-年家浜东路129弄1-78号
嘉善！一手现房！总价65万！86平方大两房！70年产权住宅！,1室1厅,35m--,中层(共11层),2015年建造,90,坦福风情商务酒店----浦东-金桥-新金桥路1088号
精装修南北通透满五唯一税费少屋主诚意看房随时,3室2厅,135m--,高层(共11层),2011年建造,600,万科花园小城----闵行-吴泾-龙吴路5688弄
环境舒适楼层居高视野开阔房东诚心出售价格可谈！！,1室1厅,50m--,高层(共6层),1997年建造,275,荷五小区----浦东-金桥-长岛路1398弄1-68号
（赞成红树林精装2房）景观楼层 精致装修 *房装修保养非常,3室2厅,127m--,高层(共11层),2012年建造,300,赞成红树林家园----金山-石化-卫零北路800弄
杜鹃园双南厅北，全明户型，对口康健外国语小学，素质住户,2室1厅,64m--,高层(共6层),1990年建造,450,杜鹃园----徐汇-康健-钦州南路917弄
江中公寓，新城地铁旁上民乐。精装修正两房南北直通，仅此一套！,2室2厅,87m--,中层(共6层),2002年建造,300,江中公寓----松江-松江城区-南期昌路458弄50-198号
上海70年产权住宅房，地铁5号线，大学城旁，南北通透户型,2室2厅,89m--,高层(共14层),2016年建造,200,佳源梦想广场----奉贤-柘林-金海公路99弄
香溢花城南北通透满五税少正气两房含车位3/4号线中,2室2厅,103m--,低层(共28层),2009年建造,820,香溢花城二期----普陀-光新-石泉东路240号
厨卫全明，客厅朝南，动迁房税少，实拍,2室2厅,90m--,高层(共28层),2013年建造,450,盛华景苑----徐汇-华泾-龙吴路2888弄
金桥瑞仕花园+建平九年制+6号线金桥站+配套齐全+送产权车位,4室2厅,179m--,低层(共16层),2008年建造,1720,金桥瑞仕花园----浦东-金杨-枣庄路399弄
金都大两房南北通精装修价格只要435万,2室2厅,89m--,低层(共6层),2004年建造,435,金都花好悦园----闵行-颛桥-银都路3151弄
宜川三村，房龄新得房率高，南北两房一厅，出行便捷，诚心出售,2室1厅,58m--,高层(共7层),1987年建造,338,宜川路51弄小区----普陀-甘泉宜川-宜川路51弄
海浒新村 南北户型 满五 精装 周边配套齐全 紧邻22号线,2室1厅,61m--,中层(共6层),1997年建造,112,海浒新村----金山-石化-隆安东路
房源价格真实，双南房，厅南北通透，精装修，送中央空调地暖,2室2厅,90m--,低层(共7层),2016年建造,330,惠南一方新城----浦东-惠南-迎薰路222弄
"紧靠地铁1号线 南北户型 中心位置 学,区,房！",2室2厅,59m--,低层(共6层),1996年建造,290,新梅花苑(388弄)----闵行-古美罗阳-报春路388弄
长虹坊对口师大附小中心位置楼层好满五年税少,2室1厅,74m--,低层(共6层),1993年建造,450,长虹坊----徐汇-康健-桂林西街11弄1-27号
急急急急急售房东心态稳定，绝不乱跳价,1室1厅,68m--,中层(共22层),2008年建造,70,光华糖果公园----上海周边-昆山-国际商务城赛格电子市场东
徐汇新城（公寓），上门实勘，好房子，实地看房,3室2厅,114m--,中层(共12层),2005年建造,780,徐汇新城(1717弄)----徐汇-长桥-龙吴路1717弄
出门地铁 对口打一 价格可谈 拎包入住,1室,30m--,中层(共6层),1986年建造,215,延虹公寓----闵行-龙柏金汇-虹中路796弄
凯迪双拼比肩独栋享受，带花园，送超大露台，居住舒适满五唯一！,5室3厅,210m--,共1层,2009年建造,840,凯迪澳澜湾----青浦-赵巷-嘉松中路6633弄
水语人家  交通便利  业主 诚心出售  看房随时,2室2厅,76m--,高层(共11层),2011年建造,285,水语人家南苑----闵行-浦江-浦涛路751弄
金杨新村二街坊 43.68平米 290.00万元,1室1厅,44m--,低层(共6层),1995年建造,290,金杨新村二街坊----浦东-金杨-金杨路273弄
"南北透板式两房,客厅朝南，好楼层房型正气,性价比高,诚意出售",2室2厅,84m--,中层(共6层),2008年建造,179,华盛新苑----奉贤-奉城-新奉公路4595弄
嘉怡水岸大四室：带给您灵动富有想象的空间！,4室2厅,135m--,高层(共15层),2013年建造,610,嘉怡水岸(公寓)----闵行-吴泾-紫龙路500弄
金山新城区海尚馨苑精装电梯房成熟社区交通便利近万达,2室2厅,74m--,中层(共14层),2008年建造,148,海尚馨苑----金山-金山新城-海盛路515弄
同润 菲诗艾伦 55.44平米 188.0万元,1室1厅,55m--,高层(共16层),2010年建造,189,同润圣塔路斯----松江-泗泾-古楼公路1198弄
